
  Group   Upper      Critical   Inf.Med.   Critical   Inf.Med.  
   No    Energy(eV)   Flux       Flux      Adj.Flux   Adj.Flux  

    81  1.8600E+02  3.436E-03  3.436E-03  3.524E-04  3.524E-04
    82  1.2200E+02  3.390E-03  3.390E-03  5.963E-03  5.963E-03
    83  1.1900E+02  2.992E-03  2.992E-03  3.888E-03  3.888E-03
    84  1.1500E+02  3.360E-03  3.360E-03  2.368E-03  2.368E-03
    85  1.0800E+02  3.082E-03  3.082E-03  1.788E-03  1.788E-03
    86  1.0000E+02  3.281E-03  3.281E-03  1.433E-03  1.433E-03
    87  9.0000E+01  3.288E-03  3.288E-03  1.635E-03  1.635E-03
    88  8.2000E+01  2.781E-03  2.781E-03  5.279E-03  5.279E-03
    89  8.0000E+01  3.285E-03  3.285E-03  2.973E-03  2.973E-03
    90  7.6000E+01  3.267E-03  3.267E-03  2.854E-03  2.854E-03
    91  7.2000E+01  3.220E-03  3.220E-03  2.355E-03  2.355E-03
    92  6.7500E+01  2.495E-03  2.495E-03  3.175E-03  3.175E-03
    93  6.5000E+01  3.203E-03  3.203E-03  2.420E-03  2.420E-03
    94  6.1000E+01  3.231E-03  3.231E-03  4.710E-03  4.710E-03
    95  5.9000E+01  3.084E-03  3.084E-03  1.575E-03  1.575E-03
    96  5.3400E+01  3.156E-03  3.156E-03  5.954E-03  5.954E-03
    97  5.2000E+01  3.002E-03  3.002E-03  5.776E-03  5.776E-03
    98  5.0600E+01  3.109E-03  3.109E-03  5.455E-03  5.455E-03
    99  4.9200E+01  2.994E-03  2.994E-03  8.173E-03  8.173E-03
   100  4.8300E+01  3.120E-03  3.120E-03  5.678E-03  5.678E-03
   101  4.7000E+01  3.165E-03  3.165E-03  3.943E-03  3.943E-03
   102  4.5200E+01  3.116E-03  3.116E-03  5.749E-03  5.749E-03
   103  4.4000E+01  3.134E-03  3.134E-03  4.099E-03  4.099E-03
   104  4.2400E+01  3.033E-03  3.033E-03  4.516E-03  4.516E-03
   105  4.1000E+01  3.080E-03  3.080E-03  4.386E-03  4.386E-03
   106  3.9600E+01  2.716E-03  2.716E-03  1.175E-02  1.175E-02
   107  3.9100E+01  2.828E-03  2.828E-03  5.031E-03  5.031E-03
   108  3.8000E+01  2.130E-03  2.130E-03  4.538E-03  4.538E-03
   109  3.7000E+01  1.985E-03  1.985E-03  2.520E-03  2.520E-03
   110  3.5500E+01  2.361E-03  2.361E-03  6.059E-03  6.059E-03
   111  3.4600E+01  2.640E-03  2.640E-03  6.178E-03  6.178E-03
   112  3.3750E+01  2.579E-03  2.579E-03  1.020E-02  1.020E-02
   113  3.3250E+01  2.834E-03  2.834E-03  3.427E-03  3.427E-03
   114  3.1750E+01  2.912E-03  2.912E-03  9.914E-03  9.914E-03
   115  3.1250E+01  2.809E-03  2.809E-03  3.784E-03  3.784E-03
   116  3.0000E+01  2.956E-03  2.956E-03  1.841E-03  1.841E-03
   117  2.7500E+01  2.948E-03  2.948E-03  1.679E-03  1.679E-03
   118  2.5000E+01  2.804E-03  2.804E-03  1.470E-03  1.470E-03
   119  2.2500E+01  2.349E-03  2.349E-03  1.924E-03  1.924E-03
   120  2.1000E+01  1.702E-03  1.702E-03  2.208E-03  2.208E-03
   121  2.0000E+01  2.247E-03  2.247E-03  3.085E-03  3.085E-03
   122  1.9000E+01  2.618E-03  2.618E-03  6.162E-03  6.162E-03
   123  1.8500E+01  2.706E-03  2.706E-03  1.972E-03  1.972E-03
   124  1.7000E+01  2.669E-03  2.669E-03  2.736E-03  2.736E-03
   125  1.6000E+01  2.746E-03  2.746E-03  2.877E-03  2.877E-03
   126  1.5100E+01  2.798E-03  2.798E-03  3.517E-03  3.517E-03
   127  1.4400E+01  2.704E-03  2.704E-03  3.697E-03  3.697E-03
   128  1.3750E+01  2.785E-03  2.785E-03  2.634E-03  2.634E-03
   129  1.2900E+01  2.525E-03  2.525E-03  2.015E-03  2.015E-03
   130  1.1900E+01  2.420E-03  2.420E-03  4.481E-03  4.481E-03
   131  1.1500E+01  2.728E-03  2.728E-03  1.202E-03  1.202E-03
   132  1.0000E+01  2.652E-03  2.652E-03  1.792E-03  1.792E-03
   133  9.1000E+00  2.363E-03  2.363E-03  1.430E-03  1.430E-03
   134  8.1000E+00  2.522E-03  2.522E-03  1.238E-03  1.238E-03
   135  7.1500E+00  1.906E-03  1.906E-03  6.237E-03  6.237E-03
   136  7.0000E+00  1.350E-03  1.350E-03  2.852E-03  2.852E-03
   137  6.7500E+00  9.412E-04  9.412E-04  2.453E-03  2.453E-03
   138  6.5000E+00  1.428E-03  1.428E-03  3.199E-03  3.199E-03
   139  6.2500E+00  1.960E-03  1.960E-03  3.854E-03  3.854E-03
   140  6.0000E+00  2.203E-03  2.203E-03  1.621E-03  1.621E-03
   141  5.4000E+00  1.798E-03  1.798E-03  1.915E-03  1.915E-03
   142  5.0000E+00  2.160E-03  2.160E-03  3.370E-03  3.370E-03
   143  4.7500E+00  2.379E-03  2.379E-03  1.076E-03  1.076E-03
   144  4.0000E+00  2.402E-03  2.402E-03  2.666E-03  2.666E-03
   145  3.7300E+00  2.249E-03  2.249E-03  2.914E-03  2.914E-03
   146  3.5000E+00  2.331E-03  2.331E-03  1.784E-03  1.784E-03
   147  3.1500E+00  2.280E-03  2.280E-03  5.843E-03  5.843E-03
   148  3.0500E+00  2.317E-03  2.317E-03  1.142E-02  1.142E-02
   149  3.0000E+00  2.520E-03  2.520E-03  1.876E-02  1.876E-02
   150  2.9700E+00  2.398E-03  2.398E-03  5.507E-03  5.507E-03
   151  2.8700E+00  2.436E-03  2.436E-03  5.311E-03  5.311E-03
